# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
MappedFileStorage.totalBytesMapped,1774241816523000000,1774241876570000000,164626432
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1774241816523000000,1774241876570000000,248528896
FilePageCache.pageHits,1774241816523000000,1774241876570000000,0
DirectByteBufferAllocator.misses,1774241816523000000,1774241876570000000,239
FilePageCache.pageLoadsAboveSizeThreshold,1774241816523000000,1774241876570000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1774241816523000000,1774241876570000000,95
FilePageCache.maxCacheSizeInBytes,1774241816523000000,1774241876570000000,248528896
FilePageCache.disposedBuffers,1774241816523000000,1774241876570000000,5
StreamlinedBlobStorage.recordsAllocated,1774241816523000000,1774241876570000000,13
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1774241816523000000,1774241876570000000,910
MappedFileStorage.totalPagesMapped,1774241816523000000,1774241876570000000,6
FilePageCache.totalPageLoadsUs,1774241816523000000,1774241876570000000,733856
FilePageCache.maxRegisteredFiles,1774241816523000000,1774241876570000000,666
DirectByteBufferAllocator.disposed,1774241816523000000,1774241876570000000,0
DirectByteBufferAllocator.hits,1774241816523000000,1774241876570000000,5
FilePageCache.pageLoads,1774241816523000000,1774241876570000000,244
FileChannelInterruptsRetryer.totalRetriedAttempts,1774241816523000000,1774241876570000000,0
FilePageCache.pageFastCacheHits,1774241816523000000,1774241876570000000,16700
StorageLockContext.competingThreads.90P,1774241816523000000,1774241876570000000,0
StreamlinedBlobStorage.recordsDeleted,1774241816523000000,1774241876570000000,0
StorageLockContext.competingThreads.max,1774241816523000000,1774241876570000000,2
StorageLockContext.competingThreads.avg,1774241816523000000,1774241876570000000,0.025423728813559324
DirectByteBufferAllocator.reclaimed,1774241816523000000,1774241876570000000,5
FilePageCache.totalPageDisposalsUs,1774241816523000000,1774241876570000000,888
FilePageCache.uncachedFileAccess,1774241816523000000,1774241876570000000,405
FilePageCache.capacityInBytes,1774241816523000000,1774241876570000000,629145600
StreamlinedBlobStorage.recordsRelocated,1774241816523000000,1774241876570000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1774241816523000000,1774241876570000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1774241816523000000,1774241876570000000,747450
MappedFileStorage.storages,1774241816523000000,1774241876570000000,6
cacheStateStorage.set.duration,1774241816523000000,1774241876570000000,8
cacheStateStorage.set.counter,1774241816523000000,1774241876570000000,1
cacheStateStorage.get.counter,1774241816523000000,1774241876570000000,1
cacheStateStorage.get.duration,1774241816523000000,1774241876570000000,0
VFS.cache.segmentsCreated,1774241816523000000,1774241876570000000,1
VFS.contentStorage.recordsReadSize,1774241816523000000,1774241876570000000,0
VFS.rootsCount,1774241816523000000,1774241876570000000,1.0
VFS.fileByIdCache.hits,1774241816523000000,1774241876570000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1774241816523000000,1774241876570000000,0
VFS.fileChildByName,1774241816523000000,1774241876570000000,58
VFS.contentStorage.recordsStoredCompressed,1774241816523000000,1774241876570000000,0
FileNameCache.totalMisses,1774241816523000000,1774241876570000000,0
VFS.cache.directoriesCreated,1774241816523000000,1774241876570000000,12
VFS.contentStorage.recordsReadDecompressed,1774241816523000000,1774241876570000000,0
FileNameCache.queries,1774241816523000000,1774241876570000000,0
VFS.cache.segments,1774241816523000000,1774241876570000000,1.0
VFS.contentStorage.recordsUncompressedSize,1774241816523000000,1774241876570000000,0
VFS.contentStorage.recordsStoredSize,1774241816523000000,1774241876570000000,0
VFS.cache.filesCreated,1774241816523000000,1774241876570000000,12
VFS.folderCaseSensitivityReads,1774241816523000000,1774241876570000000,9
VFS.fileByIdCache.misses,1774241816523000000,1774241876570000000,0
VFS.invertedFileNameIndex.requests,1774241816523000000,1774241876570000000,0
VFS.contentStorage.recordsDeduplicated,1774241816523000000,1774241876570000000,0
VFS.contentStorage.recordsStored,1774241816523000000,1774241876570000000,0
VFS.contentStorage.recordsRead,1774241816523000000,1774241876570000000,0
Indexing.cache.totalCacheEvicted,1774241816523000000,1774241876570000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1774241816523000000,1774241876570000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1774241816523000000,1774241876570000000,0
Indexing.cache.totalCacheMisses,1774241816523000000,1774241876570000000,0
Indexing.writesQueuedAvg,1774241816523000000,1774241876570000000,0.0
Indexing.totalTimeIndexersSleptMs,1774241816523000000,1774241876570000000,0
Indexing.writesQueuedMin,1774241816523000000,1774241876570000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1774241816523000000,1774241876570000000,0
Indexing.writesQueuedMax,1774241816523000000,1774241876570000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1774241816523000000,1774241876570000000,0
Indexing.cache.totalCacheAccesses,1774241816523000000,1774241876570000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1774241816523000000,1774241876570000000,0
workspaceModel.global.apply.state.to.project.ms,1774241816523000000,1774241876570000000,0
workspaceModel.global.updates.count,1774241816523000000,1774241876570000000,0
workspaceModel.sync.entities.ms,1774241816523000000,1774241876570000000,0
jps.load.initial.state.ms,1774241816523000000,1774241876570000000,0
jps.save.global.entities.ms,1774241816523000000,1774241876570000000,5
workspaceModel.global.updates.ms,1774241816523000000,1774241876570000000,0
FlushQueue.executionTime90PNs,1774241816523000000,1774241876570000000,487423
FlushQueue.waitingTimeMaxNs,1774241816523000000,1774241876570000000,595591167
FlushQueue.tasksExecuted,1774241816523000000,1774241876570000000,355
WriteAction.executionsCount,1774241816523000000,1774241876570000000,2
AWTEventQueue.eventsDispatched,1774241816523000000,1774241876570000000,2020
FlushQueue.waitingTime90PNs,1774241816523000000,1774241876570000000,57147391
FlushQueue.queueSizeMax,1774241816523000000,1774241876570000000,24
AWTEventQueue.dispatchTimeAvgNs,1774241816523000000,1774241876570000000,877576.0237623763
FlushQueue.queueSize90P,1774241816523000000,1774241876570000000,10
FlushQueue.executionTimeMaxNs,1774241816523000000,1774241876570000000,637534207
ReadAction.executionsCount,1774241816523000000,1774241876570000000,191
AWTEventQueue.dispatchTimeTotalNS,1774241816523000000,1774241876570000000,1774072542
FlushQueue.queueSizeAvg,1774241816523000000,1774241876570000000,3.591549295774648
AWTEventQueue.dispatchTimeMaxNs,1774241816523000000,1774241876570000000,637534207
AWTEventQueue.dispatchTime90PNs,1774241816523000000,1774241876570000000,339967
FlushQueue.executionTimeAvgNs,1774241816523000000,1774241876570000000,2755735.752112676
FlushQueue.waitingTimeAvgNs,1774241816523000000,1774241876570000000,2.9909970230985917E7
writeAction.wait.ms,1774241816523000000,1774241876570000000,1
DiskQueryRelay.tasksExecuted,1774241816523000000,1774241876570000000,45
writeAction.median.wait.ms,1774241816523000000,1774241876570000000,0
writeAction.count,1774241816523000000,1774241876570000000,2
writeAction.max.wait.ms,1774241816523000000,1774241876570000000,1
DiskQueryRelay.taskWaitingTotalTimeUs,1774241816523000000,1774241876570000000,41574
DiskQueryRelay.tasksRequested,1774241816523000000,1774241876570000000,45
DiskQueryRelay.taskExecutionTotalTimeUs,1774241816523000000,1774241876570000000,19454
MappedFileStorage.totalBytesMapped,1774241876570000000,1774241936570000000,164626432
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1774241876570000000,1774241936570000000,248528896
FilePageCache.pageHits,1774241876570000000,1774241936570000000,0
DirectByteBufferAllocator.misses,1774241876570000000,1774241936570000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1774241876570000000,1774241936570000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1774241876570000000,1774241936570000000,0
FilePageCache.maxCacheSizeInBytes,1774241876570000000,1774241936570000000,248528896
FilePageCache.disposedBuffers,1774241876570000000,1774241936570000000,0
StreamlinedBlobStorage.recordsAllocated,1774241876570000000,1774241936570000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1774241876570000000,1774241936570000000,0
MappedFileStorage.totalPagesMapped,1774241876570000000,1774241936570000000,6
FilePageCache.totalPageLoadsUs,1774241876570000000,1774241936570000000,0
FilePageCache.maxRegisteredFiles,1774241876570000000,1774241936570000000,666
DirectByteBufferAllocator.disposed,1774241876570000000,1774241936570000000,0
DirectByteBufferAllocator.hits,1774241876570000000,1774241936570000000,0
FilePageCache.pageLoads,1774241876570000000,1774241936570000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1774241876570000000,1774241936570000000,0
FilePageCache.pageFastCacheHits,1774241876570000000,1774241936570000000,0
StorageLockContext.competingThreads.90P,1774241876570000000,1774241936570000000,0
StreamlinedBlobStorage.recordsDeleted,1774241876570000000,1774241936570000000,0
StorageLockContext.competingThreads.max,1774241876570000000,1774241936570000000,0
StorageLockContext.competingThreads.avg,1774241876570000000,1774241936570000000,0.0
DirectByteBufferAllocator.reclaimed,1774241876570000000,1774241936570000000,0
FilePageCache.totalPageDisposalsUs,1774241876570000000,1774241936570000000,0
FilePageCache.uncachedFileAccess,1774241876570000000,1774241936570000000,0
FilePageCache.capacityInBytes,1774241876570000000,1774241936570000000,629145600
StreamlinedBlobStorage.recordsRelocated,1774241876570000000,1774241936570000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1774241876570000000,1774241936570000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1774241876570000000,1774241936570000000,747450
MappedFileStorage.storages,1774241876570000000,1774241936570000000,6
cacheStateStorage.set.duration,1774241876570000000,1774241936570000000,0
cacheStateStorage.set.counter,1774241876570000000,1774241936570000000,1
cacheStateStorage.get.counter,1774241876570000000,1774241936570000000,1
cacheStateStorage.get.duration,1774241876570000000,1774241936570000000,0
VFS.cache.segmentsCreated,1774241876570000000,1774241936570000000,0
VFS.contentStorage.recordsReadSize,1774241876570000000,1774241936570000000,0
VFS.rootsCount,1774241876570000000,1774241936570000000,1.0
